X,Y
0,13.000
1,14.039
2,11.617
3,17.350
4,26.458
5,33.762
6,38.039
7,42.699
8,48.692
9,52.438
10,65.812
11,73.297
12,80.751
13,81.879
14,82.782
15,85.036
16,85.245
17,83.990
18,86.160
19,70.193
20,56.096
21,46.199
22,34.741
23,28.372
24,25.996
25,23.136
26,22.472
27,24.194
28,28.949
29,36.456
30,47.288
31,54.957
32,57.470
33,57.661
34,55.346
35,56.432
36,52.375
37,52.938
38,56.903
39,59.723
40,62.830
41,71.294
42,67.855
43,64.664
44,59.156
45,51.545
46,43.951
47,41.024
48,44.345
49,49.640
50,53.061
51,50.254
52,51.151
53,58.470
54,69.663
55,76.892
56,80.353
57,82.172
58,90.210
59,87.595
60,89.005
61,83.979
62,65.333
63,50.591
64,43.646
65,40.717
66,45.942
67,54.308
68,63.026
69,68.114
70,72.193
71,83.793
72,97.535
73,106.700
74,114.237
75,121.612
76,127.170
77,128.741
78,132.724
79,140.841
80,149.872
81,155.380
82,161.444
83,164.518
84,164.168
85,161.518
86,160.118
87,161.624
88,162.119
89,161.202
90,158.916
91,155.009
92,149.297
93,141.354
94,131.209
95,113.699
96,83.785
97,62.200
98,63.256
99,69.474
100,84.697
101,96.845
102,104.486
103,107.448
104,97.046
105,76.882
106,55.960
107,38.951
108,33.236
109,43.171
110,53.047
111,63.488
112,71.769
113,75.259
114,81.546
115,89.463
116,101.639
117,107.292
118,100.318
119,92.532
120,96.269
121,105.242
122,112.028
123,111.275
124,111.003
125,108.192
126,99.003
127,87.184
128,79.743
129,79.341
130,73.545
131,81.102
132,90.236
133,98.938
134,107.377
135,115.265
136,120.629
137,121.464
138,122.958
139,130.043
140,137.522
141,142.438
142,146.160
143,151.382
144,155.525
145,157.312
146,164.799
147,164.366
148,160.318
149,150.855
150,140.879
151,133.364
152,126.585
153,122.194
154,121.012
155,120.889
156,118.646
157,115.109
158,115.360
159,115.467
160,105.108
161,89.408
162,79.317
163,71.494
164,66.857
165,64.114
166,56.500
167,50.585
168,44.526
169,38.666
170,33.665
171,32.419
172,31.020
173,30.952
174,30.034
175,27.131
176,26.999
177,29.087
178,30.188
179,28.315
180,33.354
181,39.096
182,37.328
183,32.405
184,26.451
185,19.468
186,17.426
187,21.927
188,30.332
189,39.074
190,44.917
191,50.555
192,56.842
193,62.485
194,63.944
195,72.673
196,85.986
197,99.034
198,107.195
199,111.790
200,117.272
201,122.410
202,132.974
203,145.060
204,155.378
205,160.884
206,162.994
207,162.629
208,164.457
209,169.975
210,169.199
211,170.984
212,171.466
213,170.365
214,168.693
215,167.410
216,166.187
217,164.170
218,154.159
219,143.542
220,131.205
221,123.038
222,115.443
223,100.041
224,78.649
225,65.727
226,64.994
227,74.621
228,87.082
229,97.697
230,107.284
231,115.684
232,120.001
233,120.106
234,116.590
235,113.151
236,109.885
237,103.891
238,90.753
239,80.299
240,72.345
241,63.787
242,52.383
243,49.283
244,48.848
245,49.551
246,53.170
247,56.638
248,59.261
249,59.359
250,64.530
251,61.971
252,60.892
253,66.755
254,74.698
255,81.284
256,88.841
257,95.635
258,111.207
259,121.191
260,131.771
261,142.532
262,153.687
263,163.495
264,169.962
265,172.251
266,176.820
267,182.414
268,185.916
269,185.296
270,183.234
271,182.436
272,180.051
273,176.404
274,176.145
275,170.474
276,167.848
277,167.093
278,163.395
279,158.319
280,150.653
281,140.260
282,132.520
283,127.907
284,119.834
285,106.762
286,95.680
287,93.115
288,98.879
289,107.069
290,110.673
291,110.395
292,110.143
293,107.814
294,99.802
295,88.581
296,81.471
297,80.260
298,87.177
299,95.675
300,109.938
301,122.202
302,127.138
303,126.477
304,124.352
305,124.101
306,123.008
307,118.095
308,101.439
309,80.950
310,68.201
311,64.506
312,65.604
313,70.929
314,81.904
315,88.055
316,91.141
317,95.325
318,104.360
319,112.065
320,120.235
321,130.377
322,140.339
323,146.552
324,153.623
325,159.594
326,161.859
327,163.715
328,165.039
329,166.546
330,165.114
331,169.897
332,172.642
333,172.195
334,173.507
335,176.969
336,178.337
337,176.803
338,171.025
339,166.697
340,163.099
341,155.943
342,143.662
343,132.740
344,119.984
345,104.675
346,89.811
347,77.602
348,67.251
349,55.866
350,48.715
351,49.372
352,50.911
353,52.896
354,56.047
355,61.541
356,64.933
357,63.952
358,63.234
359,55.398
360,48.014
361,48.889
362,74.345
363,101.926
364,121.851
365,138.615
366,149.524
367,150.630
368,151.853
369,149.499
370,135.317
371,122.035
372,82.574
373,49.500
374,52.753
375,66.717
376,66.709
377,63.660
378,65.393
379,65.700
380,63.605
381,59.229
382,57.445
383,64.881
384,87.386
385,113.217
386,127.545
387,139.178
388,150.371
389,161.747
390,175.054
391,185.771
392,192.224
393,198.345
394,207.150
395,216.225
396,224.763
397,229.693
398,232.644
399,234.329
400,234.652
401,234.145
402,238.734
403,239.054
404,236.864
405,233.838
406,228.401
407,222.336
408,211.402
409,200.361
410,189.113
411,182.640
412,176.239
413,169.046
414,163.977
415,157.580
416,146.603
417,135.344
418,118.985
419,112.252
420,109.805
421,107.582
422,101.825
423,93.103
424,89.357
425,91.746
426,94.804
427,92.383
428,91.634
429,101.239
430,118.749
431,131.349
432,133.566
433,128.912
434,124.677
435,124.429
436,124.289
437,123.918
438,124.532
439,120.104
440,112.077
441,109.749
442,112.500
443,110.602
444,107.753
445,103.891
446,93.325
447,80.199
448,75.756
449,79.735
450,77.557
451,81.450
452,110.722
453,140.873
454,159.216
455,171.003
456,176.000
457,181.808
458,184.012
459,187.659
460,191.764
461,194.878
462,196.639
463,200.594
464,206.995
465,213.942
466,214.825
467,212.528
468,211.413
469,207.396
470,199.149
471,189.672
472,177.790
473,161.810
474,148.250
475,132.649
476,124.484
477,132.975
478,143.973
479,150.008
480,156.775
481,163.995
482,164.397
483,164.639
484,166.055
485,166.370
486,164.391
487,161.481
488,158.239
489,155.688
490,148.785
491,143.920
492,146.128
493,157.100
494,169.337
495,172.961
496,171.290
497,170.413
498,170.337
499,173.773
500,178.965
501,181.733
502,178.619
503,173.481
504,170.221
505,170.007
506,164.476
507,163.191
508,164.461
509,161.563
510,150.016
511,132.093
512,116.414
513,108.976
514,107.731
515,113.443
516,127.159
517,145.950
518,164.671
519,178.108
520,186.209
521,190.301
522,197.736
523,204.127
524,210.788
525,219.614
526,227.653
527,233.734
528,235.177
529,232.972
530,230.486
531,227.758
532,225.146
533,223.345
534,221.463
535,221.593
536,222.397
537,218.965
538,210.244
539,197.059
540,179.018
541,161.207
542,142.660
543,119.294
544,105.961
545,109.598
546,116.651
547,120.607
548,123.942
549,127.945
550,131.577
551,135.429
552,138.647
553,141.165
554,136.754
555,132.542
556,126.453
557,122.657
558,130.613
559,144.588
560,153.842
561,159.576
562,168.740
563,174.663
564,174.424
565,170.202
566,162.926
567,155.214
568,158.033
569,174.179
570,187.714
571,201.942
572,214.379
573,218.190
574,218.860
575,222.302
576,228.894
577,235.759
578,245.591
579,250.844
580,250.627
581,250.895
582,253.447
583,254.253
584,253.662
585,253.171
586,254.258
587,255.000
588,255.000
589,255.000
590,255.000
591,255.000
592,255.000
593,255.000
594,254.372
595,254.000
596,254.418
597,254.667
598,254.656
599,254.667
600,253.853
601,252.766
602,247.904
603,230.925
604,210.651
605,204.563
606,212.353
607,223.797
608,233.919
609,239.557
610,243.225
611,246.855
612,250.784
613,253.159
614,253.357
615,250.010
616,244.080
617,238.527
618,221.232
619,198.956
620,167.434
621,138.927
622,141.736
623,165.202
624,185.945
625,201.063
626,209.336
627,210.549
628,205.449
629,197.194
630,189.186
631,186.688
632,197.462
633,214.712
634,233.657
635,244.482
636,249.742
637,252.804
638,253.534
639,253.390
640,253.342
641,253.808
642,254.192
643,254.530
644,254.596
645,254.416
646,254.367
647,254.390
648,253.469
649,252.233
650,253.696
651,255.000
652,255.000
653,255.000
654,255.000
655,255.000
656,255.000
657,255.000
658,255.000
659,255.000
660,255.000
661,255.000
662,255.000
663,255.000
664,254.611
665,254.333
666,253.568
667,250.536
668,244.366
669,238.152
670,236.522
671,239.690
672,244.025
673,247.669
674,251.679
675,253.434
676,253.394
677,253.583
678,253.712
679,254.238
680,254.841
681,254.898
682,247.005
683,236.669
684,219.929
685,197.341
686,183.772
687,186.462
688,201.033
689,215.488
690,221.242
691,224.349
692,227.923
693,227.592
694,224.167
695,221.051
696,219.755
697,220.965
698,225.919
699,233.927
700,241.773
701,246.924
702,248.701
703,249.816
704,252.188
705,253.912
706,252.895
707,252.344
708,253.317
709,253.770
710,253.965
711,254.425
712,254.186
713,253.520
714,254.243
715,255.000
716,255.000
717,255.000
718,255.000
719,254.929
720,254.880
721,254.890
722,254.096
723,253.472
724,253.857
725,254.321
726,254.719
727,254.950
728,254.801
729,254.667
730,251.899
731,248.694
732,239.698
733,218.760
734,192.667
735,171.071
736,156.480
737,143.400
738,134.761
739,135.782
740,149.338
741,170.457
742,184.166
743,185.480
744,178.973
745,168.731
746,155.018
747,134.116
748,122.278
749,129.072
750,146.024
751,165.255
752,177.400
753,184.371
754,182.004
755,175.624
756,171.408
757,164.642
758,159.873
759,159.942
760,161.456
761,161.351
762,156.795
763,148.203
764,141.834
765,146.421
766,159.667
767,169.450
768,173.922
769,177.350
770,182.694
771,193.629
772,209.698
