X,Y
0,10.0000
1,12.9881
2,19.1180
3,24.4839
4,21.6963
5,13.5062
6,12.7616
7,13.6978
8,12.4448
9,14.1701
10,20.3964
11,21.8698
12,19.7655
13,14.9365
14,12.2865
15,13.0454
16,13.9786
17,13.5018
18,13.2810
19,14.4624
20,15.1200
21,14.9490
22,16.6316
23,18.3829
24,16.8181
25,13.4748
26,13.5314
27,14.0746
28,13.6066
29,14.6884
30,17.3858
31,21.6005
32,20.8792
33,18.0401
34,11.9074
35,12.2526
36,13.9591
37,15.8525
38,17.9965
39,18.0371
40,15.6137
41,14.0049
42,14.1908
43,13.6426
44,14.0011
45,13.8479
46,13.2503
47,13.2517
48,13.1128
49,13.0866
50,8.6491
51,9.5009
52,8.8176
53,7.8858
54,11.7775
55,16.8138
56,16.7808
57,11.8037
58,14.7764
59,11.3527
60,9.8586
61,13.6807
62,16.8345
63,17.1009
64,18.9962
65,22.2440
66,19.1228
67,18.2668
68,14.9750
69,13.2868
70,13.7094
71,15.5930
72,15.3503
73,12.7723
74,19.4117
75,17.8355
76,15.1261
77,14.6136
78,15.8805
79,17.4682
80,18.6671
81,18.1855
82,19.6264
83,21.2740
84,23.0337
85,23.2430
86,24.1081
87,23.1580
88,21.4891
89,19.5142
90,16.2616
91,13.5023
92,12.4279
93,13.7590
94,14.3389
95,12.5965
96,10.7118
97,10.6584
98,17.7265
99,17.9937
100,17.0570
101,14.8120
102,14.2931
103,16.6426
104,20.0585
105,22.6903
106,19.0409
107,16.7098
108,13.9402
109,12.7921
110,14.2457
111,14.0202
112,13.3778
113,11.7846
114,13.8381
115,12.4152
116,12.3491
117,14.1536
118,16.0923
119,15.7049
120,11.8564
121,7.9100
122,12.8997
123,10.4713
124,9.1461
125,10.4514
126,12.9173
127,13.6222
128,14.5056
129,15.5261
130,16.0327
131,16.8149
132,17.2407
133,16.1083
134,14.1418
135,12.3639
136,12.4095
137,13.1593
138,12.3808
139,12.2987
140,13.9099
141,14.9617
142,14.3076
143,12.9320
144,10.6573
145,9.7177
146,12.8934
147,15.1059
148,16.4000
149,16.3496
150,16.6354
151,17.2703
152,16.9430
153,14.5802
154,14.7598
155,16.1913
156,15.5983
157,11.3452
158,8.1323
159,10.9443
160,15.8683
161,19.3674
162,19.6638
163,16.2837
164,12.0621
165,9.9070
166,8.7940
167,7.7208
168,7.9511
169,10.3845
170,13.4861
171,12.2766
172,12.2853
173,14.9354
174,15.7034
175,15.9715
176,17.8269
